"","id","host_id","host_listings_count","latitude","longitude","accommodates","bathrooms","beds","price","minimum_nights","maximum_nights","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_l30d","review_scores_rating","instant_bookable","calculated_host_listings_count","reviews_per_month","d_TV","d_hot_tub","d_wifi","d_gym","d_sound_system","d_dishwasher","d_pool","d_balcony","d_fridge","d_stove","d_coffee_machine","d_good_view","d_hair_dryer","d_air_conditioner","d_breakfast","d_wardrobe","f_property_type","f_neighbourhood_group_cleansed","f_neighbourhood_cleansed","d_host_is_superhost","d_host_identity_verified","d_host_has_profile_pic","n_days_since","f_bathroom","f_number_of_reviews","f_minimum_nights","accommodates2","ln_accommodates","ln_accommodates2","ln_beds","ln_number_of_reviews","ln_days_since","ln_days_since2","ln_days_since3","n_days_since2","n_days_since3","ln_review_scores_rating"
"11",255656,1343997,7,34.10336,-118.32366,4,1,2,132,30,90,1,30,53,83,358,22,0,4.52,1,6,0.17,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Hollywood",1,1,1,3815,2,2,3,16,1.38629436111989,1.92181205567281,0.693147180559945,3.13549421592915,8.24695803256818,68.0123167909408,560.89472227262,14554225,55524368375,1.50851199384414
"12",255701,1343997,7,34.10336,-118.32366,6,1,4,169,30,60,1,14,27,51,326,26,0,4.08,1,6,0.19,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Hollywood",1,1,1,4033,2,2,3,36,1.79175946922805,3.2104019955684,1.38629436111989,3.29583686600433,8.30251371851416,68.9317340461158,572.306667558846,16265089,65597103937,1.40609698841607
"13",256182,279548,1,34.07967,-118.28379,4,1,1,125,30,760,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Entire Unit","City of Los Angeles","Silver Lake",0,1,1,0,2,1,3,16,1.38629436111989,1.92181205567281,0,0,0,0,0,0,0,-Inf
"14",114203,579779,2,34.09513,-118.36875,2,1,1,115,30,365,1,0,0,0,0,37,1,4.97,0,1,0.27,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,"Condominium","Other Cities","West Hollywood",1,1,1,4120,2,2,3,4,0.693147180559945,0.480453013918201,0,3.63758615972639,8.32385113133882,69.2864976566905,576.730491906147,16974400,69934528000,1.60341984010854
"15",258803,1367539,4,34.07103,-118.37869,5,2,5,265,30,90,1,0,0,0,0,55,0,4.45,0,3,0.44,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Beverly Grove",0,1,1,3753,3,3,3,25,1.6094379124341,2.59029039398023,1.6094379124341,4.02535169073515,8.23057721714645,67.7424013274103,557.559065000175,14085009,52861038777,1.49290409617815
"16",259679,1362975,1,34.10707,-118.19155,2,1,2,110,30,90,1,30,60,90,365,58,0,4.38,0,1,0.44,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"Entire Unit","City of Los Angeles","Highland Park",0,1,1,3991,2,3,3,4,0.693147180559945,0.480453013918201,0.693147180559945,4.07753744390572,8.29204763743135,68.7580540214309,570.145059402784,15928081,63568971271,1.47704872438835
"17",124199,619518,2,34.06547,-118.40422,2,2,2,149,2,1125,1,23,38,56,319,110,4,4.73,0,2,0.79,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,"Entire Unit","Other Cities","Beverly Hills",0,1,1,4201,3,3,2,4,0.693147180559945,0.480453013918201,0.693147180559945,4.70953020131233,8.34331588140495,69.610919896904,580.785893495047,17648401,74140932601,1.55392520250384
"18",131557,78804,5,34.08023,-118.25646,2,1,1,120,30,365,1,0,0,0,266,81,0,4.7,0,4,0.59,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,"Entire Unit","City of Los Angeles","Echo Park",0,1,1,4150,2,3,3,4,0.693147180559945,0.480453013918201,0,4.40671924726425,8.33110454805304,69.40730299059,578.239497613,17222500,71473375000,1.54756250871601
"19",134553,592405,8,34.09729,-118.61616,2,1,1,111,1,14,1,19,45,75,350,455,2,4.51,1,8,3.98,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,"Entire Unit","Unincorporated Areas","Topanga",0,1,1,3432,2,3,1,4,0.693147180559945,0.480453013918201,0,6.12249280951439,8.14118979345769,66.2789712530997,539.589684286611,11778624,40424237568,1.50629715351459
"20",278184,998027,1,33.9911,-118.47861,2,1,1,126,30,1125,1,0,0,0,0,23,0,4.9,0,1,0.17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Entire Unit","City of Los Angeles","Venice",0,0,1,4001,2,2,3,4,0.693147180559945,0.480453013918201,0,3.17805383034795,8.29454951514368,68.7995516591702,570.661287856673,16008001,64048012001,1.58923520511658
"21",165978,294812,8,34.06923,-118.34549,4,2,2,195,30,730,1,30,60,90,365,21,0,4.62,0,3,0.18,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Fairfax",0,1,1,3448,3,2,3,16,1.38629436111989,1.92181205567281,0.693147180559945,3.09104245335832,8.14583961293684,66.354702999691,540.514768199542,11888704,40992251392,1.53039470509365
"22",290530,1511137,25,33.76901,-118.18119,2,1,2,61,32,96,1,6,6,13,288,65,0,4.52,1,25,0.6,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,"Entire Unit","Other Cities","Long Beach",0,1,1,3263,2,3,3,4,0.693147180559945,0.480453013918201,0.693147180559945,4.18965474202643,8.090708716084,65.4595675285176,529.614293554066,10647169,34741712447,1.50851199384414
"23",181511,870087,2,34.10053,-118.24925,5,1,3,140,30,365,1,15,15,39,223,41,1,4.95,0,2,0.3,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Elysian Valley",1,1,1,4061,2,2,3,25,1.6094379124341,2.59029039398023,1.09861228866811,3.73766961828337,8.30943074214033,69.0466392584268,573.738266895445,16491721,66972878981,1.5993875765806
"24",183319,867995,2,33.99211,-118.476,2,1,2,152,30,90,1,0,0,0,0,3,0,5,0,2,0.02,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,"Entire Unit","City of Los Angeles","Venice",0,0,1,3923,2,2,3,4,0.693147180559945,0.480453013918201,0.693147180559945,1.38629436111989,8.27486682068525,68.4734209000777,566.608438704869,15389929,60374691467,1.6094379124341
"25",299876,1545388,6,34.09014,-118.24872,2,1,1,118,60,1125,1,0,0,0,250,23,0,4.95,0,5,0.17,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Echo Park",1,1,1,3963,2,2,3,4,0.693147180559945,0.480453013918201,0,3.17805383034795,8.28500889544988,68.6413723976836,568.694380910697,15705369,62240377347,1.5993875765806
"26",194809,946246,1,34.0238,-118.40512,2,1,1,59,30,186,1,0,0,0,0,23,0,4.4,1,1,0.17,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,"Entire Unit","City of Los Angeles","Palms",0,1,1,4084,2,2,3,4,0.693147180559945,0.480453013918201,0,3.17805383034795,8.3150770072941,69.1405056372311,574.908628696828,16679056,68117264704,1.48160454092422
"27",51546,237114,1,34.11874,-118.32113,6,1,2,100,31,365,1,23,49,53,328,189,0,4.92,0,1,1.28,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,"Entire Unit","City of Los Angeles","Hollywood Hills",1,1,1,4422,2,3,3,36,1.79175946922805,3.2104019955684,0.693147180559945,5.24702407216049,8.39457347786833,70.4688638753303,591.556055703362,19554084,86468159448,1.59330853050422
"28",52871,245280,1,34.06118,-118.39804,6,1,2,152,5,27,1,7,29,39,217,132,0,4.92,0,1,0.92,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,"Entire Unit","Other Cities","Beverly Hills",1,1,1,4293,2,3,3,36,1.79175946922805,3.2104019955684,0.693147180559945,4.89034912822175,8.36497397843873,69.972789659957,585.320564704307,18429849,79119341757,1.59330853050422
"29",196410,78804,5,34.08187,-118.25663,2,1,1,140,30,365,1,0,3,33,164,60,0,4.78,0,4,0.44,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Echo Park",0,1,1,4059,2,3,3,4,0.693147180559945,0.480453013918201,0,4.11087386417331,8.30893825259578,69.0384548854494,573.636258697818,16475481,66873977379,1.56444054650336
"30",197756,964494,1,34.08618,-118.27651,3,1,2,153,30,90,1,22,31,31,300,140,0,4.73,0,1,1.03,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,"Condominium","City of Los Angeles","Silver Lake",0,1,1,4083,2,3,3,9,1.09861228866811,1.20694896081258,0.693147180559945,4.94875989037817,8.31483217928456,69.136434169666,574.857847594927,16670889,68067239787,1.55392520250384
"31",203991,231825,2,34.03301,-118.46104,2,1,1,105,30,120,1,25,25,32,307,3,0,4.67,0,1,0.03,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,"Condominium","City of Los Angeles","Sawtelle",0,0,1,2714,2,2,3,4,0.693147180559945,0.480453013918201,0,1.38629436111989,7.90654723236804,62.5134891376666,494.265854527087,7365796,19990770344,1.54115907168081
"32",437082,592405,8,34.09769,-118.61912,2,0,1,84,1,14,1,20,50,80,355,320,5,4.74,1,8,2.49,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,"Entire Unit","Unincorporated Areas","Topanga",0,1,1,3858,1,3,1,4,0.693147180559945,0.480453013918201,0,5.77144112313002,8.25816336153762,68.1972621058423,563.184131279645,14884164,57423104712,1.55603713570699
"33",438464,592405,8,34.09782,-118.61694,2,1,1,104,1,14,1,16,46,76,351,757,1,4.63,1,8,6.38,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,"Entire Unit","Unincorporated Areas","Topanga",0,1,1,3557,2,3,1,4,0.693147180559945,0.480453013918201,0,6.63068338564237,8.17695386822578,66.8625745630926,546.732187713214,12652249,45004049693,1.53255686809814
"34",440133,1358840,1,34.09827,-118.352,3,1,2,121,30,365,1,29,59,89,364,15,0,4.54,1,1,0.12,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,"Entire Unit","City of Los Angeles","Hollywood",1,1,1,3779,2,2,3,9,1.09861228866811,1.20694896081258,0.693147180559945,2.77258872223978,8.23747928861363,67.8560650303386,558.962930294234,14280841,53967298139,1.51292701205326
"35",53945,239905,1,34.06171,-118.37258,2,1,1,135,31,90,1,30,60,90,365,142,0,4.78,0,1,0.98,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"Entire Unit","City of Los Angeles","Carthay",0,1,1,4355,2,3,3,4,0.693147180559945,0.480453013918201,0,4.96284463025991,8.37930948405285,70.2128274295381,588.335010782494,18966025,82597038875,1.56444054650336
"36",61578,298123,3,33.99122,-118.46898,6,2,2,417,30,152,1,0,0,0,189,25,0,4.92,0,3,0.2,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,"Condominium","City of Los Angeles","Venice",1,1,1,3717,3,2,3,36,1.79175946922805,3.2104019955684,0.693147180559945,3.25809653802148,8.22094116828139,67.5838736923438,555.603049549318,13816089,51354402813,1.59330853050422
"37",446757,1343997,7,34.10336,-118.32366,6,1,5,179,30,60,1,5,30,60,293,41,0,4.59,0,6,0.44,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Hollywood",1,1,1,2771,2,2,3,36,1.79175946922805,3.2104019955684,1.6094379124341,3.73766961828337,7.92732436030979,62.8424715135611,498.172655291527,7678441,21276960011,1.52388002407245
"38",321179,1645296,1,34.08828,-118.2842,4,1,3,175,30,30,1,0,0,0,0,13,0,4.67,0,1,0.11,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,"Entire Unit","City of Los Angeles","Silver Lake",0,1,1,3427,2,2,3,16,1.38629436111989,1.92181205567281,1.09861228866811,2.63905732961526,8.13973227971767,66.2552415854778,539.299928633806,11744329,40247815483,1.54115907168081
"39",590936,2915924,2,34.07566,-118.22307,2,1,1,95,30,180,1,0,0,0,0,56,0,4.85,0,1,0.57,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,"Loft","City of Los Angeles","Lincoln Heights",0,1,1,2960,2,3,3,4,0.693147180559945,0.480453013918201,0,4.04305126783455,7.99328232810159,63.8925623767412,510.711289743134,8761600,25934336000,1.57897870494939
"40",594777,2824760,4,34.07645,-118.20635,4,1.5,3,139,30,365,1,21,31,31,297,108,0,4.72,1,4,0.86,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,"Entire Unit","City of Los Angeles","Lincoln Heights",1,1,1,3754,2,3,3,16,1.38629436111989,1.92181205567281,1.09861228866811,4.69134788222914,8.23084356419823,67.7467857783035,557.613195718466,14092516,52903305064,1.55180879959746
"41",344646,1748638,1,34.02846,-118.51825,2,1,1,80,30,1125,1,19,19,19,270,105,0,4.31,1,1,0.8,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,"Entire Unit","City of Los Angeles","Pacific Palisades",0,1,1,3944,2,3,3,4,0.693147180559945,0.480453013918201,0,4.66343909411207,8.28020423327997,68.5617821448276,567.705558756821,15555136,61349456384,1.46093790411566
"42",346756,11878764,31,34.02445,-118.49391,2,1,1,135,31,1125,1,6,11,35,310,55,0,4.7,0,6,0.42,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,"Entire Unit","Other Cities","Santa Monica",0,1,1,3907,2,3,3,4,0.693147180559945,0.480453013918201,0,4.02535169073515,8.27078101316267,68.4058185676922,565.769545399519,15264649,59638983643,1.54756250871601
"43",347925,1753258,1,34.09241,-118.28065,4,2,2,240,30,120,1,29,59,88,88,44,0,4.93,0,1,0.34,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"Loft","City of Los Angeles","Silver Lake",0,0,1,3927,3,2,3,16,1.38629436111989,1.92181205567281,0.693147180559945,3.80666248977032,8.27588566947436,68.490283614211,566.817756661083,15421329,60559558983,1.5953389880546
"44",357323,78804,5,34.08115,-118.25549,3,1,1,140,30,365,1,0,0,0,9,89,1,4.84,0,4,0.68,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,"Entire Unit","City of Los Angeles","Echo Park",0,1,1,3909,2,3,3,9,1.09861228866811,1.20694896081258,0,4.49980967033027,8.27129265297941,68.4142821512312,565.874549316339,15280281,59730618429,1.57691472072854
"45",358575,1545388,6,34.08898,-118.25007,4,1.5,1,181,31,1125,1,1,2,2,221,60,0,4.93,0,5,0.46,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,"Entire Unit","City of Los Angeles","Echo Park",1,1,1,3907,2,3,3,16,1.38629436111989,1.92181205567281,0,4.11087386417331,8.27078101316267,68.4058185676922,565.769545399519,15264649,59638983643,1.5953389880546
"46",604321,2916726,1,34.09372,-118.118,4,1.5,2,96,15,1125,1,9,17,23,298,75,1,4.68,0,1,0.71,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,"Condominium","Other Cities","Alhambra",0,1,1,3186,2,3,3,16,1.38629436111989,1.92181205567281,0.693147180559945,4.33073334028633,8.06683531441734,65.0738319899306,524.939885940833,10150596,32339798856,1.54329810992956
"47",472748,2344764,7,33.98746,-118.46641,6,1,3,325,30,90,1,15,45,75,75,488,0,4.96,0,5,3.82,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,"Entire Unit","City of Los Angeles","Venice",1,1,1,3836,2,3,3,36,1.79175946922805,3.2104019955684,1.09861228866811,6.19236248947487,8.25244609024695,68.1028664724322,562.015234155033,14714896,56446341056,1.60140574073684
"48",365635,1846253,1,34.09543,-118.35066,2,1,1,125,30,90,1,0,0,0,0,4,0,5,0,1,0.03,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"Entire Unit","City of Los Angeles","Hollywood",0,1,1,3810,2,2,3,4,0.693147180559945,0.480453013918201,0,1.6094379124341,8.24564690087386,67.9906928138907,560.627245489124,14516100,55306341000,1.6094379124341
"49",371373,1870500,1,33.99185,-118.47796,4,2,1,319,30,1125,1,0,0,0,0,8,0,5,1,1,0.06,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Entire Unit","City of Los Angeles","Venice",0,1,1,3761,3,2,3,16,1.38629436111989,1.92181205567281,0,2.19722457733622,8.23270600986098,67.777448244801,557.991805498015,14145121,53199800081,1.6094379124341
"50",374590,1647272,4,34.09451,-118.27413,3,1.5,2,418,30,1125,1,0,0,0,220,28,0,4.92,0,3,0.22,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"Entire Unit","City of Los Angeles","Silver Lake",1,1,1,3901,2,2,3,9,1.09861228866811,1.20694896081258,0.693147180559945,3.36729582998647,8.26924452118306,68.380404951116,565.454288998295,15217801,59364641701,1.59330853050422
"51",375882,745432,1,34.10839,-118.28976,3,2,2,120,30,365,1,0,0,0,0,7,0,4.71,0,1,0.07,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Entire Unit","City of Los Angeles","Los Feliz",0,1,1,3111,3,2,3,9,1.09861228866811,1.20694896081258,0.693147180559945,2.07944154167984,8.04302088529828,64.6901849613444,520.304508717902,9678321,30109256631,1.54968790802833
"52",377271,1896248,2,34.0667,-118.35127,3,2,3,175,30,120,1,23,53,83,358,2,0,4.5,0,2,0.02,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Entire Unit","City of Los Angeles","Mid-Wilshire",0,1,1,3319,3,2,3,9,1.09861228866811,1.20694896081258,1.09861228866811,1.09861228866811,8.10772006191053,65.7351246023066,532.96198851031,11015761,36561310759,1.50407739677627
"53",494305,2442393,2,34.09258,-118.35655,2,1,1,110,30,250,1,5,35,65,340,13,0,4.8,0,2,0.1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,"Entire Unit","Other Cities","West Hollywood",0,1,1,3782,2,2,3,4,0.693147180559945,0.480453013918201,0,2.63905732961526,8.23827262463303,67.869135837778,559.124443829867,14303524,54095927768,1.56861591791385
"54",621233,592405,8,34.09749,-118.61543,3,1,2,128,1,14,1,11,41,71,342,777,3,4.43,1,8,6.17,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,"Entire Unit","Unincorporated Areas","Topanga",0,1,1,3776,2,3,1,9,1.09861228866811,1.20694896081258,0.693147180559945,6.65672652417839,8.23668532271246,67.8429851053868,558.801319666539,14258176,53838872576,1.48839958405704
"55",622766,1511369,5,34.09513,-118.35534,2,1,2,117,30,120,1,9,14,44,134,159,0,4.72,0,5,1.29,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Hollywood",1,1,1,3701,2,3,3,4,0.693147180559945,0.480453013918201,0.693147180559945,5.07517381523383,8.21662849313344,67.5129837941724,554.729106299653,13697401,50694081101,1.55180879959746
"56",499612,2465559,1,34.04045,-118.2335,2,1,1,280,30,1125,1,0,28,41,300,15,0,4.87,0,1,0.12,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,"Loft","City of Los Angeles","Downtown",1,1,1,3826,2,2,3,4,0.693147180559945,0.480453013918201,0,2.77258872223978,8.2498364854257,68.0598020362611,561.482238029597,14638276,56006043976,1.5830939370945
"57",504631,2489047,1,34.20169,-118.50028,3,1,1,62,30,430,1,0,3,33,308,53,0,4.57,0,1,0.53,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Lake Balboa",0,1,1,3001,2,3,3,9,1.09861228866811,1.20694896081258,0,3.98898404656427,8.00703401219341,64.1125936724221,513.351718145019,9006001,27027009001,1.51951320490611
"58",636629,2824760,4,34.07507,-118.2085,4,1.5,3,129,30,365,1,4,34,64,339,67,0,4.65,1,4,0.54,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,"Entire Unit","City of Los Angeles","Lincoln Heights",1,1,1,3726,2,3,3,16,1.38629436111989,1.92181205567281,1.09861228866811,4.21950770517611,8.22335889947926,67.6236315896447,556.093392647812,13883076,51728341176,1.53686721959926
"59",510381,1544831,1,33.98945,-118.4752,2,1,1,150,30,90,1,0,0,0,0,1,0,5,0,1,0.01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Entire Unit","City of Los Angeles","Venice",0,1,1,2472,2,2,3,4,0.693147180559945,0.480453013918201,0,0.693147180559945,7.81318726752142,61.0458952773588,476.963011715505,6110784,15105858048,1.6094379124341
"60",402053,2006759,3,34.16958,-118.65344,2,1,1,87,30,1125,1,5,5,32,307,128,1,4.78,0,3,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","Woodland Hills",0,1,1,3824,2,3,3,4,0.693147180559945,0.480453013918201,0,4.85981240436167,8.24931374626064,68.0511772842447,561.375512220139,14622976,55918260224,1.56444054650336
"61",512682,2525623,1,34.08975,-118.2787,3,1,1,99,30,55,1,0,0,0,0,8,0,5,0,1,0.08,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,"Entire Unit","City of Los Angeles","Silver Lake",0,1,1,2839,2,2,3,9,1.09861228866811,1.20694896081258,0,2.19722457733622,7.95155933115525,63.2272957968822,502.755593877412,8059921,22882115719,1.6094379124341
"62",668111,3381181,1,33.99796,-118.4775,2,1,1,150,30,1125,1,0,14,44,44,55,0,4.95,0,1,0.45,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,"Entire Unit","City of Los Angeles","Venice",1,1,1,3677,2,3,3,4,0.693147180559945,0.480453013918201,0,4.02535169073515,8.21012440516427,67.4061427482739,553.41281763559,13520329,49714249733,1.5993875765806
"63",534552,1647272,4,34.08523,-118.27088,2,1,2,250,30,365,1,0,0,0,250,9,0,4.67,0,3,0.08,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,"Entire Unit","City of Los Angeles","Silver Lake",1,1,1,3476,2,2,3,4,0.693147180559945,0.480453013918201,0.693147180559945,2.30258509299405,8.15392513200786,66.4864950583894,542.125902995718,12082576,41999034176,1.54115907168081
"64",669808,3392276,44,34.0499534606934,-118.435600280762,3,1,2,105,30,360,1,0,0,0,159,51,0,4.74,0,44,0.42,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","West Los Angeles",0,1,1,3644,2,3,3,9,1.09861228866811,1.20694896081258,0.693147180559945,3.95124371858143,8.20111164444276,67.2582322046146,551.5922713179,13278736,48387713984,1.55603713570699
"65",669825,3392276,44,34.0488,-118.43408,3,1,2,20,30,365,1,30,60,90,365,40,0,4.63,0,44,0.32,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,"Entire Unit","City of Los Angeles","West Los Angeles",0,1,1,3724,2,2,3,9,1.09861228866811,1.20694896081258,0.693147180559945,3.71357206670431,8.22282213081366,67.6148037949989,555.98450501614,13868176,51645087424,1.53255686809814
